epoch,loss
1,5.331851
2,5.063721
3,4.767377
4,4.7825117
5,4.4935336
6,4.3511157
7,4.2698917
8,4.004417
9,3.947833
10,3.8764193
11,3.6538987
12,3.4937491
13,3.5355842
14,3.3013396
15,3.2027676
16,3.1736386
17,3.072682
18,2.9364796
19,2.955658
20,2.8210244
21,2.8501244
22,2.6320996
23,2.5987263
24,2.5219736
25,2.4817307
26,2.4381647
27,2.3590298
28,2.3741279
29,2.2568877
30,2.2631385
31,2.2007399
32,2.1662073
33,2.1016524
34,2.118784
35,2.0679884
36,2.035588
37,2.0249937
38,1.9711396
39,1.9522139
40,1.9645855
41,1.7917975
42,1.7619451
43,1.6642207
44,1.8476539
45,1.5682024
46,1.5785018
47,1.4996605
48,1.7052155
49,1.5406053
50,1.4215001
51,1.3655868
52,1.4220997
53,1.359973
54,1.3560718
55,1.3335159
56,1.3474629
57,1.3133522
58,1.3258722
59,1.2453678
60,1.2507148
61,1.2676727
62,1.2651211
63,1.2333819
64,1.3001212
65,1.1595888
66,1.136832
67,1.1306006
68,1.1535941
69,1.2967148
70,1.2140934
71,1.1495072
72,1.3020216
73,1.0511545
74,1.1211824
75,1.198053
76,1.2795786
77,0.9980341
78,1.1230834
79,1.101934
80,1.0384398
81,1.0642245
82,1.0054563
83,0.99201787
84,1.083131
85,1.1287524
86,1.0550462
87,1.0870601
88,1.0510545
89,1.2435983
90,0.9881453
91,1.0435948
92,1.0624218
93,0.98143804
94,0.9683279
95,1.057699
96,0.94097304
97,0.93864805
98,0.9817627
99,0.8893918
100,0.8927154
101,0.9112094
102,0.87791467
103,0.88714176
104,0.90817964
105,1.0939285
106,0.9178337
107,0.883894
108,0.8007777
109,0.78992414
110,0.83028907
111,0.9065117
112,0.94921124
113,0.89138305
114,0.8118459
115,0.8295242
116,0.9503452
117,0.8184369
118,0.7995028
119,0.85014004
120,0.8327999
121,0.8236288
122,0.74178576
123,0.8227905
124,0.89306194
125,0.74679947
126,0.96159166
127,0.8526481
128,0.8527536
129,0.73556
130,0.73289025
131,0.8007264
132,0.88949436
133,1.0355439
134,0.85796803
135,0.76077986
136,0.7415424
137,0.6903504
138,0.73138
139,0.7633549
140,0.7078523
141,0.70320004
142,0.78250927
143,0.70060426
144,0.8438207
145,0.77295774
146,0.7880861
147,0.913944
148,0.7396161
149,0.8469937
150,0.8436382
151,0.79465896
152,0.8216849
153,0.65602607
